FeatureVec,FeatureEmbedding,Explanation,Label
"[-1.02, -0.13, -1.23, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.77]","[('L', 4, -0.7)]",0
"[-1.51, 0.33, -1.34, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.81]","[('L', 4, -0.7)]",0
"[0.67, 0.33, 0.88, 1.45]","[1.0, -0.97, -0.96, 0.99, 0.76]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.31, -0.13, 0.48, 0.26]","[0.99, 0.95, 0.94, 0.95, -0.89]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.9, 1.71, -1.06, -1.05]","[-0.99, 1.0, 1.0, -0.99, 0.87]","[('L', 4, -0.7)]",0
"[-0.29, -0.59, 0.65, 1.05]","[1.0, -0.95, -0.91, 0.99, 0.29]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]",2
"[-0.42, -1.51, -0.03, -0.26]","[0.99, 1.0, 1.0, 0.95, -0.96]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.05, -1.05, 0.14, 0.0]","[0.99, 0.99, 0.99, 0.96, -0.95]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.17, -1.05, -0.15, -0.26]","[0.96, 1.0, 1.0, 0.86, -0.93]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[1.52, -0.13, 1.22, 1.19]","[1.0, -0.99, -0.98, 1.0, 0.64]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.78, 2.4, -1.28, -1.45]","[-1.0, 1.0, 1.0, -1.0, 0.88]","[('L', 4, -0.7)]",0
"[-1.39, 0.33, -1.4, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.82]","[('L', 4, -0.7)]",0
"[0.67, -0.82, 0.88, 0.92]","[1.0, -0.97, -0.93, 1.0, 0.21]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.29, -0.36, -0.09, 0.13]","[0.93, 1.0, 1.0, 0.78, -0.84]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[1.64, -0.13, 1.16, 0.53]","[1.0, -0.75, -0.55, 0.99, -0.33]","[('R', 4, -0.7), ('R', 4, 0.5), ('L', 4, 0.6), ('R', 3, 1.0)]",2
"[0.19, -0.36, 0.42, 0.4]","[1.0, 0.88, 0.88, 0.97, -0.83]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.54, 1.94, -1.4, -1.05]","[-0.99, 1.0, 1.0, -0.99, 0.9]","[('L', 4, -0.7)]",0
"[-1.14, -1.28, 0.42, 0.66]","[1.0, -0.77, -0.64, 0.99, -0.38]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]",2
"[-0.05, 2.17, -1.45, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.89]","[('L', 4, -0.7)]",0
"[-1.26, -0.13, -1.34, -1.18]","[-0.99, 1.0, 1.0, -0.99, 0.79]","[('L', 4, -0.7)]",0
"[0.07, -0.13, 0.76, 0.79]","[1.0, -0.79, -0.68, 0.99, -0.12]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[1.04, 0.56, 1.1, 1.71]","[1.0, -0.99, -0.98, 0.99, 0.85]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.8, -0.13, 0.99, 0.79]","[1.0, -0.92, -0.85, 0.99, 0.06]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[2.13, -0.13, 1.62, 1.19]","[1.0, -1.0, -0.99, 1.0, 0.64]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.67, 0.33, 0.42, 0.4]","[0.99, 0.99, 0.97, 0.91, -0.8]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-1.02, 1.25, -1.34, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.86]","[('L', 4, -0.7)]",0
"[1.28, 0.1, 0.76, 1.45]","[1.0, -0.94, -0.93, 1.0, 0.78]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.19, -1.97, 0.71, 0.4]","[1.0, -0.71, -0.46, 1.0, -0.65]","[('R', 4, -0.7), ('L', 4, 0.5)]",2
"[-0.17, 1.71, -1.17, -1.18]","[-0.99, 1.0, 1.0, -0.99, 0.88]","[('L', 4, -0.7)]",0
"[-0.54, 0.79, -1.17, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.83]","[('L', 4, -0.7)]",0
"[-0.9, 1.48, -1.28, -1.05]","[-0.99, 1.0, 1.0, -0.99, 0.88]","[('L', 4, -0.7)]",0
"[-0.17, -0.13, 0.25, 0.0]","[0.96, 1.0, 0.99, 0.81, -0.92]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[0.19, 0.79, 0.42, 0.53]","[0.97, 0.98, 0.94, 0.78, -0.65]","[('R', 4, -0.7), ('R', 4, 0.5), ('L', 4, 0.6), ('L', 3, 1.0)]",1
"[-0.42, -1.74, 0.14, 0.13]","[1.0, 0.93, 0.95, 0.99, -0.93]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.42, -1.28, 0.14, 0.13]","[1.0, 0.97, 0.97, 0.98, -0.93]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-1.14, 0.1, -1.28, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.79]","[('L', 4, -0.7)]",0
"[0.55, -0.82, 0.65, 0.79]","[1.0, -0.76, -0.62, 1.0, -0.13]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]",2
"[0.55, -1.74, 0.36, 0.13]","[1.0, 0.85, 0.92, 0.99, -0.92]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-1.02, 0.33, -1.45, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.84]","[('L', 4, -0.7)]",0
"[1.64, 1.25, 1.33, 1.71]","[1.0, -0.99, -0.98, 0.99, 0.86]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[1.64, 0.33, 1.27, 0.79]","[1.0, -0.93, -0.87, 0.99, 0.24]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-1.14, 0.1, -1.28, -1.45]","[-0.99, 1.0, 1.0, -0.99, 0.79]","[('L', 4, -0.7)]",0
"[1.4, 0.33, 0.54, 0.26]","[0.99, 0.99, 0.98, 0.92, -0.85]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.9, 1.71, -1.23, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.87]","[('L', 4, -0.7)]",0
"[-1.63, -1.74, -1.4, -1.18]","[-0.92, 1.0, 1.0, -0.92, 0.52]","[('L', 4, -0.7)]",0
"[0.19, -1.97, 0.14, -0.26]","[1.0, 0.98, 0.99, 0.98, -0.97]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.17, -0.36, 0.25, 0.13]","[0.98, 0.99, 0.98, 0.92, -0.92]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.42, 1.02, -1.4, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.87]","[('L', 4, -0.7)]",0
"[0.19, -0.82, 0.76, 0.53]","[1.0, -0.74, -0.52, 0.99, -0.54]","[('R', 4, -0.7), ('R', 4, 0.5), ('L', 4, 0.6), ('L', 3, 1.0)]",1
"[0.8, -0.59, 0.48, 0.4]","[1.0, 0.83, 0.87, 0.99, -0.82]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[2.49, 1.71, 1.5, 1.05]","[1.0, -0.72, -0.76, 0.97, 0.62]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.31, -0.36, 0.54, 0.26]","[1.0, 0.87, 0.89, 0.97, -0.89]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.05, -0.82, 0.76, 0.92]","[1.0, -0.97, -0.92, 1.0, 0.13]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-1.75, 0.33, -1.4, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.81]","[('L', 4, -0.7)]",0
"[-0.54, -0.13, 0.42, 0.4]","[0.99, 0.84, 0.78, 0.94, -0.78]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[2.25, -0.13, 1.33, 1.45]","[1.0, -0.99, -0.98, 1.0, 0.77]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[1.89, -0.59, 1.33, 0.92]","[1.0, -0.99, -0.97, 1.0, 0.36]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-1.75, -0.13, -1.4, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.78]","[('L', 4, -0.7)]",0
"[0.55, -0.36, 1.05, 0.79]","[1.0, -0.97, -0.93, 0.99, 0.06]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-1.39, 0.33, -1.23, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.8]","[('L', 4, -0.7)]",0
"[-0.9, 1.71, -1.28, -1.18]","[-0.99, 1.0, 1.0, -0.99, 0.88]","[('L', 4, -0.7)]",0
"[-1.02, 1.02, -1.4, -1.18]","[-0.99, 1.0, 1.0, -0.99, 0.87]","[('L', 4, -0.7)]",0
"[-1.51, 1.25, -1.57, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.87]","[('L', 4, -0.7)]",0
"[-0.9, 0.56, -1.17, -0.92]","[-0.99, 1.0, 1.0, -0.99, 0.84]","[('L', 4, -0.7)]",0
"[-1.51, 0.79, -1.34, -1.18]","[-0.99, 1.0, 1.0, -0.99, 0.84]","[('L', 4, -0.7)]",0
"[-1.14, -0.13, -1.34, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.79]","[('L', 4, -0.7)]",0
"[1.04, -0.13, 0.82, 1.45]","[1.0, -0.97, -0.96, 1.0, 0.76]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-1.26, 0.1, -1.23, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.78]","[('L', 4, -0.7)]",0
"[1.16, -0.59, 0.59, 0.26]","[1.0, 0.87, 0.91, 0.99, -0.88]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-1.14, -1.51, -0.26, -0.26]","[0.91, 1.0, 1.0, 0.86, -0.88]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[-0.78, 1.02, -1.28, -1.32]","[-0.99, 1.0, 1.0, -0.99, 0.85]","[('L', 4, -0.7)]",0
"[0.8, 0.33, 0.76, 1.05]","[1.0, -0.72, -0.7, 0.99, 0.4]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[-0.54, 0.79, -1.28, -1.05]","[-0.99, 1.0, 1.0, -0.99, 0.86]","[('L', 4, -0.7)]",0
"[-1.02, 1.02, -1.23, -0.79]","[-0.99, 1.0, 1.0, -0.99, 0.87]","[('L', 4, -0.7)]",0
"[0.19, -0.13, 0.59, 0.79]","[1.0, -0.32, -0.24, 0.99, -0.2]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]",2
"[-0.17, 3.09, -1.28, -1.05]","[-1.0, 1.0, 1.0, -1.0, 0.9]","[('L', 4, -0.7)]",0
"[-1.02, -1.74, -0.26, -0.26]","[0.96, 1.0, 1.0, 0.92, -0.91]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
"[1.16, 0.33, 1.22, 1.45]","[1.0, -0.99, -0.98, 1.0, 0.77]","[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]",2
"[0.92, -0.13, 0.36, 0.26]","[0.99, 0.99, 0.98, 0.95, -0.89]","[('R', 4, -0.7), ('L', 4, 0.5)]",1
